"1stRepresentative_ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species","CommonName","Species.CommonName"
"ASV_72_a","Eukaryota","Chordata","Actinopteri","Anguilliformes","Congridae","Conger","Conger oceanicus","American conger","Conger oceanicus (American conger)"
"ASV_73_a","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil curema","White mullet","Mugil curema (White mullet)"
"ASV_85_a","Eukaryota","Chordata","Actinopteri","Anguilliformes","Ophichthidae","Myrophis","Myrophis punctatus","Speckled worm eel","Myrophis punctatus (Speckled worm eel)"
"ASV_89_a","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax","Bay anchovy","Engraulis mordax (Bay anchovy)"
"ASV_104_a","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Pseudopleuronectes","Pseudopleuronectes americanus","Winter flounder","Pseudopleuronectes americanus (Winter flounder)"
"ASV_110_a","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus","Flathead grey mullet","Mugil cephalus (Flathead grey mullet)"
"ASV_158_a","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Apeltes","Apeltes quadracus","Stickleback","Apeltes quadracus (Stickleback)"
"ASV_326_a","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Paralichthyidae","Unknown Paralichthyidae (Family)","Unknown Paralichthyidae (Family)","Large-tooth flounders","Paralichthyidae (Large-tooth flounders)"
"ASV_2_b","Eukaryota","Chordata","Actinopteri","Atheriniformes","Atherinopsidae","Menidia","Menidia menidia","Atlantic silverside","Menidia menidia (Atlantic silverside)"
"ASV_3_b","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Anchoa","Anchoa mitchilli","Bay anchovy","Anchoa mitchilli (Bay anchovy)"
"ASV_4_b","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Monacanthidae","Aluterus","Aluterus schoepfii","Orange filefish","Aluterus schoepfii (Orange filefish)"
"ASV_5_b","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Tautoga","Tautoga onitis","Tautog","Tautoga onitis (Tautog)"
"ASV_8_b","Eukaryota","Chordata","Actinopteri","Moronidae__o","Moronidae","Morone","Morone saxatilis","Striped bass","Morone saxatilis (Striped bass)"
"ASV_10_b","Eukaryota","Chordata","Actinopteri","Syngnathiformes","Syngnathidae","Syngnathus","Syngnathus fuscus","Northern pipefish","Syngnathus fuscus (Northern pipefish)"
"ASV_17_b","Eukaryota","Chordata","Actinopteri","Scombriformes","Stromateidae","Peprilus","Unknown Peprilus (Genus)","Peprilus","Peprilus"
"ASV_20_b","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","Cunner","Tautogolabrus adspersus (Cunner)"
"ASV_21_b","Eukaryota","Chordata","Actinopteri","Spariformes","Sparidae","Stenotomus","Stenotomus chrysops","Scup","Stenotomus chrysops (Scup)"
"ASV_22_b","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Alosa","Alosa mediocris","Hickory shad","Alosa mediocris (Hickory shad)"
"ASV_25_b","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Zebrasoma","Zebrasoma velifer","Sailfin tang","Zebrasoma velifer (Sailfin tang)"
"ASV_29_b","Eukaryota","Chordata","Actinopteri","Anguilliformes","Ophichthidae","Ophichthus","Ophichthus gomesii","Shrimp eel","Ophichthus gomesii (Shrimp eel)"
"ASV_34_b","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Coris","Coris gaimard","Yellowtail coris","Coris gaimard (Yellowtail coris)"
"ASV_35_b","Eukaryota","Chordata","Actinopteri","Pomacanthidae__o","Pomacanthidae","Centropyge","Centropyge interrupta","Japanese angelfish","Centropyge interrupta (Japanese angelfish)"
"ASV_40_b","Eukaryota","Chordata","Actinopteri","Chaetodontiformes","Chaetodontidae","Chaetodon","Chaetodon ocellatus","Spotfin butterflyfish","Chaetodon ocellatus (Spotfin butterflyfish)"
"ASV_44_b","Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Thunnus","Thunnus obesus","Bigeye tuna","Thunnus obesus (Bigeye tuna)"
"ASV_52_b","Eukaryota","Chordata","Actinopteri","Sphyraenidae__o","Sphyraenidae","Sphyraena","Sphyraena borealis","Northern sennet","Sphyraena borealis (Northern sennet)"
"ASV_54_b","Eukaryota","Chordata","Actinopteri","Scombriformes","Stromateidae","Peprilus","Peprilus triacanthus","American butterfish","Peprilus triacanthus (American butterfish)"
"ASV_59_b","Eukaryota","Chordata","Actinopteri","Kurtiformes","Apogonidae","Pterapogon","Pterapogon kauderni","Banggai cardinalfish","Pterapogon kauderni (Banggai cardinalfish)"
"ASV_61_b","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Anchoa","Unknown Anchoa (Genus)","Anchovies (Anchoa)","Anchoa sp. (Anchovies)"
"ASV_62_b","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Cyclopsettidae","Etropus","Etropus microstomus","Smallmouth flounder","Etropus microstomus (Smallmouth flounder)"
"ASV_63_b","Eukaryota","Chordata","Actinopteri","Chaetodontiformes","Chaetodontidae","Forcipiger","Forcipiger flavissimus","Forceps fish","Forcipiger flavissimus (Forceps fish)"
"ASV_65_b","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","Ammodytes tobianus","Lesser sand eel","Ammodytes tobianus (Lesser sand eel)"
"ASV_73_b","Eukaryota","Chordata","Actinopteri","Carangiformes","Carangidae","Selar","Selar crumenophthalmus","Bigeye scad","Selar crumenophthalmus (Bigeye scad)"
"ASV_125_b","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Atlantic herring","Clupea harengus (Atlantic herring)"
"ASV_138_b","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Balistidae","Xanthichthys","Unknown Xanthichthys (Genus)","Triggerfishes","Xanthichthys (Triggerfishes)"
"ASV_179_b","Eukaryota","Chordata","Actinopteri","Syngnathiformes","Syngnathidae","Hippocampus","Hippocampus erectus","Lined seahorse","Hippocampus erectus (Lined seahorse)"
"ASV_236_b","Eukaryota","Chordata","Actinopteri","Ophidiiformes","Ophidiidae","Ophidion","Ophidion marginatum","Striped cusk-eel","Ophidion marginatum (Striped cusk-eel)"
"ASV_409_b","Eukaryota","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Unknown Leuciscidae (Family)","Unknown Leuciscidae (Family)","Minnows","Leuciscidae (Minnows)"
"ASV_529_b","Eukaryota","Chordata","Actinopteri","Scombriformes","Nomeidae","Unknown Nomeidae (Family)","Unknown Nomeidae (Family)","Driftfishes","Nomeidae (Driftfishes)"
"ASV_913_b","Eukaryota","Chordata","Actinopteri","Scombriformes","Stromateidae","Peprilus","Peprilus burti","Gulf butterfish","Peprilus burti (Gulf butterfish)"
